year,level_1,level_2,value
1960,Male Age Specific Death Rate,Under 1 Year,37.9
1960,Male Age Specific Death Rate,1  -  4 Years,3.5
1960,Male Age Specific Death Rate,5  -  9 Years,1
1960,Male Age Specific Death Rate,10 - 14 Years,0.8
1960,Male Age Specific Death Rate,15 - 19 Years,1.1
1960,Male Age Specific Death Rate,20 - 24 Years,1.1
1960,Male Age Specific Death Rate,25 - 29 Years,1.4
1960,Male Age Specific Death Rate,30 - 34 Years,2
1960,Male Age Specific Death Rate,35 - 39 Years,3.4
1960,Male Age Specific Death Rate,40 - 44 Years,5.4
1960,Male Age Specific Death Rate,45 - 49 Years,8.4
1960,Male Age Specific Death Rate,50 - 54 Years,15.6
1960,Male Age Specific Death Rate,55 - 59 Years,24.1
1960,Male Age Specific Death Rate,60 - 64 Years,41.2
1960,Male Age Specific Death Rate,65 - 69 Years,63.4
1960,Male Age Specific Death Rate,70 - 74 Years,na
1960,Male Age Specific Death Rate,75 Years & Over,na
1960,Male Age Specific Death Rate,70 Years & Over,121.1
1960,Male Age Specific Death Rate,75 - 79 Years,na
1960,Male Age Specific Death Rate,80 - 84 Years,na
1960,Male Age Specific Death Rate,85 Years & Over,na
1960,Female Age Specific Death Rate,Under 1 Year,31.7
1960,Female Age Specific Death Rate,1  -  4 Years,3.1
1960,Female Age Specific Death Rate,5  -  9 Years,1
1960,Female Age Specific Death Rate,10 - 14 Years,0.6
1960,Female Age Specific Death Rate,15 - 19 Years,0.7
1960,Female Age Specific Death Rate,20 - 24 Years,0.9
1960,Female Age Specific Death Rate,25 - 29 Years,1.1
1960,Female Age Specific Death Rate,30 - 34 Years,1.8
1960,Female Age Specific Death Rate,35 - 39 Years,2.6
1960,Female Age Specific Death Rate,40 - 44 Years,4.3
1960,Female Age Specific Death Rate,45 - 49 Years,4.9
1960,Female Age Specific Death Rate,50 - 54 Years,9.3
1960,Female Age Specific Death Rate,55 - 59 Years,11.9
1960,Female Age Specific Death Rate,60 - 64 Years,22.1
1960,Female Age Specific Death Rate,65 - 69 Years,31.2
1960,Female Age Specific Death Rate,70 - 74 Years,na
1960,Female Age Specific Death Rate,75 Years & Over,na
1960,Female Age Specific Death Rate,70 Years & Over,76.7
1960,Female Age Specific Death Rate,75 - 79 Years,na
1960,Female Age Specific Death Rate,80 - 84 Years,na
1960,Female Age Specific Death Rate,85 Years & Over,na
1960,Total Age Specific Death Rate,Under 1 Year,34.9
1960,Total Age Specific Death Rate,1  -  4 Years,3.3
1960,Total Age Specific Death Rate,5  -  9 Years,1
1960,Total Age Specific Death Rate,10 - 14 Years,0.7
1960,Total Age Specific Death Rate,15 - 19 Years,0.9
1960,Total Age Specific Death Rate,20 - 24 Years,1
1960,Total Age Specific Death Rate,25 - 29 Years,1.2
1960,Total Age Specific Death Rate,30 - 34 Years,1.9
1960,Total Age Specific Death Rate,35 - 39 Years,3
1960,Total Age Specific Death Rate,40 - 44 Years,4.9
1960,Total Age Specific Death Rate,45 - 49 Years,6.9
1960,Total Age Specific Death Rate,50 - 54 Years,12.8
1960,Total Age Specific Death Rate,55 - 59 Years,18.6
1960,Total Age Specific Death Rate,60 - 64 Years,31.8
1960,Total Age Specific Death Rate,65 - 69 Years,45.7
1960,Total Age Specific Death Rate,70 - 74 Years,na
1960,Total Age Specific Death Rate,75 Years & Over,na
1960,Total Age Specific Death Rate,70 Years & Over,91.8
1960,Total Age Specific Death Rate,75 - 79 Years,na
1960,Total Age Specific Death Rate,80 - 84 Years,na
1960,Total Age Specific Death Rate,85 Years & Over,na
1961,Male Age Specific Death Rate,Under 1 Year,35.7
1961,Male Age Specific Death Rate,1  -  4 Years,2.9
