year,level_1,value
1970,Life Expectancy At Age 65 Years,8.4
1980,Life Expectancy At Age 65 Years,14
1990,Life Expectancy At Age 65 Years,15.7
1995,Life Expectancy At Age 65 Years,16
2000,Life Expectancy At Age 65 Years,16.9
2001,Life Expectancy At Age 65 Years,17.1
2002,Life Expectancy At Age 65 Years,17.3
2003,Life Expectancy At Age 65 Years,18
2004,Life Expectancy At Age 65 Years,18.4
2005,Life Expectancy At Age 65 Years,18.7
2006,Life Expectancy At Age 65 Years,18.9
2007,Life Expectancy At Age 65 Years,19
2008,Life Expectancy At Age 65 Years,19.3
2009,Life Expectancy At Age 65 Years,19.6
2010,Life Expectancy At Age 65 Years,19.8
2011,Life Expectancy At Age 65 Years,20
2012,Life Expectancy At Age 65 Years,20.2
2013,Life Expectancy At Age 65 Years,20.4
2014,Life Expectancy At Age 65 Years,20.6
2015,Life Expectancy At Age 65 Years,20.8
2016,Life Expectancy At Age 65 Years,20.8
2017,Life Expectancy At Age 65 Years,21
2018,Life Expectancy At Age 65 Years,21.1
