year,level_1,value
1970,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,3.4
1970,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,17.3
1970,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.9
1970,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,na
1970,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,na
1980,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,4.9
1980,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,16.4
1980,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.8
1980,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,na
1980,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,na
1990,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,6
1990,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,14.3
1990,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.8
1990,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,14.4
1990,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,25.6
1995,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,6.5
1995,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,10.6
1995,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.5
1995,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,18.5
1995,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,30.8
2000,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,7.2
2000,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,10.8
2000,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.6
2000,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,23.5
2000,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,35.1
2001,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,7.3
2001,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,11.8
2001,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.8
2001,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,24.7
2001,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,34.6
2002,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,7.4
2002,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,11.5
2002,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.8
2002,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,25.2
2002,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,28.6
2003,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,7.4
2003,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,11.2
2003,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.9
2003,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,25.1
2003,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,32.9
2004,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,7.8
2004,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,10.4
2004,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.8
2004,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,25
2004,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,37.6
2005,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,8.1
2005,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,11.4
2005,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),1.9
2005,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,25.5
2005,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,39.4
2006,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,8.4
2006,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,14.3
2006,Proportion Of Employed Elderly Residents (65 Years & Over) Among Employed Residents (15 Years & Over),2.5
2006,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Discharges,27
2006,Proportion Of Elderly Resident (65 Years And Over) To Total Resident Patient Days,42.1
2007,Proportion Of Elderly Residents (65 Years & Over) Among Resident Population,8.5
2007,Proportion Of Elderly Residents (65 Years & Over) In Labour Force,14.8
